韻母	聲母	聲調	字頭	異體	安澄饒揭潮	附加語音特徵
	d	1	豬			
		5	除			
		7	箸			
	l	2	你			
			女			
			汝			
			您			
			旅		01001	
			膂		01001	
		5	閭			
			櫚			
			驢			
		6	呂			
			侶			
			鋁			
			慮			
			濾			
	g	1	居			
			裾			
			琚			
			車			
		2	舉			
			柜			
			矩			
			秬			
			櫸			
			枸			
			蒟			
			踽			
		3	鋸			
		4	嗝			
		6	據			
			踞			
			遽			
			醵			
			巨			
			炬			
			倨			
			噱			
			据			
			拒			
			詎			
			距			
			苣			
			秬			
	k	3	去			
		5	渠			
			佢			
			蕖			
			瞿			
			衢			
			癯			
			氍			
			蘧			
			璩			
			磲			
	ng	5	漁		00001	
			愚		00001	
			隅		00001	
	gh	2	語			
		6	御			
			禦			
			馭			
		7	御			
	h	1	虛			
			噓			
			墟	圩		
			歔			
		2	許			
		5	魚			
			漁		11110	
	z	1	之			
			覷		00001	
			姿			
			賫	齎		
			咨			
			孖			
			孜			
			孳			
			嵫			
			書			
			氏			
			淄			
			滋			
			兹	茲		
			粢			
			耔			
			緇			
			芝			
			菑			
			諮			
			貲			
			資			
			趑			
			輜			
			錙			
			鷀	鶿		
			鼒			
			啙	呰		
			齜			
		2	子			
			籽			
			梓			
			耔			
			煮			
			仔			
		3	滋			
			恣			
			漬			
			胔	胾		
		5	薯			
		6	自			
		8	嗻			
	c	1	哧			
		2	此			
			呲			
			泚			
			鼠			
			跐			
		3	次			
			廁			
			茨			
		5	徐			
			慈			
			磁	瓷		
			兹	茲		
			疵			
			茨			
			雌			
			髭			
			眦	眥		
			訾			
			糍			
	s	1	思			
			斯			
			嘶			
			師			
			廝			
			撕			
			澌			
			私			
			緦			
			舒			
			虒			
			螄			
			颸			
			鍶			
		2	史			
		3	賜			
			思			
			儩			
			泗			
			笥			
			駟			
			肆			
		5	祠			
			嗣			
			詞			
			辭			
		6	士			
			什			
			仕			
			伺			
			似			
			俟			
			嗣			
			姒			
			峙			
			嶼			
			汜			
			涘			
			祀			
			事			
			耜			
			茌			
			食			
		7	事			
	r	2	爾			
			耳			
			鉺			
			汝			
			洱			
			璽			
			邇			
			婼			
		5	而			
		6	女			
			字			
			膩			
			貳			
		7	耳			
耶	null	1	耶			
			揶		11110	
			啞			
			誒			
		2	啞			
		4	隘			
			厄			
			扼			
			阨			
			軛			
			嗌			
		5	耶			
		6	吓			
			廈			
			下			
	b	2	把			
		4	伯			
			佰			
			掰			
			柏			
			百			
		5	扒			
			杷			
			爬			
			鈀			
			琶			
			筢			
			耙			
			䎱			
		6	父			
		8	白			
			帛			
	p	3	帕			
	bh	2	碼			
			馬			
		8	麥			
	d	5	茶			
	t	7	䖳			
		8	姹	奼		
			宅			
			仛			
	l	8	歷			
			曆			
			櫪			
			櫟			
			瀝			
			靂			
			嚦			
			癧			
			皪			
			礫			
			藶			
			鬲			
	g	1	家			
			鎵			
			傢			
			袈			
		2	假			
		3	嫁			
			稼			
			價			
			駕			
			架			
		4	格			
			鎘			
			膈			
			隔			
			骼			
			搿			
			挌			
		5	枷			
			耞			
		8	硌			
	k	4	客			
			喀			
			揢			
	gh	2	枒			
		5	牙			
			蚜			
			釾			
			衙			
			芽			
		7	砑			
	h	4	嚇			
			吓			
		5	蝦			
		7	夏			
			廈			
	z	1	齋			
		2	姊		11110	
			姐			
			這			
		3	債			
		4	仄			
			嘖			
			昃			
			簣			
			積			
			幘			
			績			
			織		00010	
			責			
			賾			
			磧			
			職			
		7	寨			
			砦			
	c	1	叉			
			杈			
			尺			
			差			
			扠			
		2	扯			
		3	廁			
		4	冊			
			策			
		5	查			
	s	1	些			
			紗			
			裟			
		5	儕			
衣	null	1	衣			
			伊			
			依			
			咿			
			噫			
			漪			
			猗			
			繄			
			銥			
			餏			
			鷖			
			黟			
			於		10110	
		2	扆			
			犄			
			旖			
			倚			
			綺			
			椅			
		3	意			
			噫			
			曀			
			殪			
			噎			
			憶			
			瘞			
			縊			
			肄		11110	
			薏			
			衣			
			諡			
			鐿			
			饐			
		5	移		11110	
			蛇			
			匜			
			巵	卮		
			夷			
			圯			
			宧			
			姨			
			怡			
			彝			
			扅			
			椸			
			畦		11110	
			痍			
			貽			
			眙			
			簃			
			胰			
			荑			
			詒			
			貤			
			迤			
			迻			
			飴			
		6	咦			
			異			
			易			
			懿			
			裔			
	b	1	碑			
			郫			
			砒			
			蓖			
			蜱			
			裨			
			埤			
			睥			
			陂			
		2	庀			
			比			
			蚍			
			仳			
			妣			
			狴			
			彼			
			毗			
			秕			
			稗			
			紕			
			魮			
			蚍			
		3	庇			
			匕			
			泌			
			痹			
			毖			
			費			
			祕			
			賁			
			轡			
			臂			
		4	鱉			
		5	脾			
			枇			
			琵			
			髀			
			鼙			
			啤			
		6	備			
			俾			
			婢			
			幣			
			瞥			
			憊			
			憋			
			敝			
			獘			
			斃			
			畀			
			蹩			
			蔽			
			被			
			閉			
			𢲾			
			贔			
			鞴			
			鞁			
			陛			
		7	避			
			弊			
	p	1	披			
			狉			
			帔			
		2	丕			
			呸			
			否			
			嚭			
			圮			
			邳			
			痞			
			鄙			
			苤			
		3	媲			
			譬			
			嬖			
			濞			
			淠			
			埤			
		5	疲			
			脾			
			羆			
			貔			
		6	屁			
	bh	2	米			
		7	未			
			味			
		8	篾			
	d	1	的			
			知			
			低			
			氐			
			底			
			祗			
			呧			
			羝			
			蜘			
			踟			
			𩭲			
