韻母	聲母	聲調	字頭	異體	安澄饒揭潮	附加語音特徵
		5	曹			
			嘈			
			漕			
			繅			
			巢			
			螬			
	s	1	搔			
			捎			
			梢			
			艄			
			鞘			
			騷			
			蛸			
		3	掃			
			埽			
			哨			
			嗽			
			嘯			
挨	null	1	挨			
		2	矮			
		5	鞋			
	b	4	捌			
			八			
	p	1	批			
	bh	2	買			
		6	𠁞			
		7	賣			
	d	1	堤			
		2	底			
		5	蹄			
			題			
		6	第		00111	
	t	1	釵			
		2	體		00110	
		3	代			
	l	2	禮		11100	
		5	犁			
		7	籬			
		8	笠			
	g	1	街			
			雞			
			階			
		2	改			
			解			
		3	計			
			疥			
			解			
		4	夾			
			裌			
		5	鮭			
		7	易			
		8	夾			
	k	1	溪			
			鸂			
		3	契			
		4	莢			
	gh	5	倪			
		7	囈			
			蓺			
			藝			
	h	6	蟹			
	z	4	節			
		8	截			
	s	1	𦭶			
			嘶			
		2	洗			
			灑	洒		
		3	細			
		4	𩐅			
烏	null	1	烏			
			鎢			
		2	嫗			
		5	湖			
			胡			
		7	芋			
	b	1	埔			
			埠			
		2	補			
			斧			
			脯			
		3	布			
			傅			
		5	醅			
		6	部			
		7	步			
			踄			
	p	1	鋪			
			舖			
		2	普			
			氆			
			匍			
			剖			
			圃			
			掊			
			浦			
			溥			
			甫			
			譜			
			鐠			
			脯			
			裒			
		3	舖			
		6	簿			
	m	2	某		00011	
			懞	懵	00011	
		3	貿		00011	
		5	朦		00011	
			檬		00011	
			蠓		00011	
			矇		00011	
			瞀		00011	
			摸		00011	
			曚		00011	
			蒙		00011	
			哞		00011	
			蛑		00011	
			牟		00011	
			侔		00011	
			謀		00111	
			礞		00011	
			眸		00011	
			幪		00011	
			艨		00011	
			濛		00011	
		6	懋		00011	
			茂		00011	
			袤		00011	
	bh	2	畝			
			牡			
		7	戊			
	d	1	都			
			唗			
		2	肚			
		3	鬥			
		5	圖			
			屠			
			廚			
		6	杜			
			肚			
			芏			
			竇			
			豆			
			脰			
			餖			
		7	度			
			渡			
			鍍			
	t	2	土			
			釷			
		3	吐			
			兔			
			堍			
			菟			
		5	涂			
			塗			
	n	1	奴			
		5	奴			
	l	2	滷			
			鹵			
			櫓			
		3	露			
		5	爐			
			鑪			
			鱸			
			廬			
			蘆			
		6	陋			
		7	路			
			露			
	g	1	姑			
			孤			
			枯			
			沽			
			罛	䑩		
			菇			
			菰			
			䬲			
			辜			
			鴣			
			估			
		2	古			
			牯			
			鼓			
			笱			
			芶			
			羖			
			股			
			臌			
			苟			
			估			
			鈷			
		3	媾			
			夠			
			彀			
			垢			
			妒			
			冓			
			構			
			詬			
			購			
			斁			
			轂			
			覯			
			遘			
			僱			
			顧			
		5	糊			
		6	靠			
	k	1	箍			
			𥸱			
			圈			
		2	苦			
			許			
		3	寇			
			庫			
			蔻			
			褲	絝		
	ng	2	午			
			伍			
			偶			
			忤			
			迕			
			耦			
			藕			
		6	五			
			仵			
			伍			
	gh	5	蜈			
			吳			
		7	誤			
	h	2	虎			鼻
			琥			鼻
			否			鼻
			不			鼻
			唬			鼻
		3	戽			
		5	侯			
			堠			
			瘊			
			糇			
			篌			
			葫			
		6	戶			
			逅			
			后			
			雨		11110	
			骺			
	z	1	租			
			鄒			
			諏			
			陬			
			謅			
		2	祖			
		6	驟			
	c	1	粗			
			觕			
		3	湊			
			簉			
			腠			
			輳			
			醋			
			揍			
		5	愁			
	s	1	蘇			
			穌			
			甦			
			酥			
			颼			
		2	溲			
			叟			
			廋			
			嗖			
			瞍			
			艘			
			謏			
			擻			
			藪			
		3	瘦			
			漱			
安	null	1	安			
			氨			
			胺			
			骯		11011	
			桉			
			銨			
			鵪			
		3	宴			
			按			
			晏			
			甕	瓮	11011	
			齆			
		4	惡		11011	
			堊		11011	
			揠			
			抑			
		5	紅		11011	
			洪		11011	
	b	1	班			
			斑			
			崩		11011	
			幫		11011	
			浜			
			蹦		11011	
			方		11011	
			枋		11011	
			楓		11011	
			彭			
			瘢			
			繃		11011	
			癍			
			邦		11011	
			頒			
		2	梆		11011	
			板			
			扳			
			膀		11011	
			版			
			榜		11011	
			綁		11011	
			繃		11011	
			蝂			
			耪		11011	
			闆			
			坂	阪		
		3	扮			
		4	北		11011	
			亳		11011	
			剝		11011	
			幅		11011	
			腹		11011	
		5	房		11011	
			瓶			
			馮		11011	
		6	稖		11011	
			棒		11011	
			磅		11011	
			謗		11011	
			傍		11011	
		8	縛		11011	
	p	1	蜂		11011	
			攀			
		2	紡		11011	
		3	盼			
			襻			
			嗙			
		4	博		11011	
			搏		11011	
			膊		11011	
			趴		11011	
		5	徬	彷	11011	
			尨		11011	
			帆		11011	
			旁		11011	
			滂		11011	
			篷		11011	
			膀		11011	
			航		11011	
			螃		11011	
			彭		11011	
			甏		11011	
			傍		11011	
			蒡		11011	
			鰟		11011	
			龐		11011	
			霶		11011	
			逄		11011	
		7	縫		11011	
		8	曝		11011	
			暴		11011	
			瀑		11011	
			爆		11011	
			雹		11011	
	m	2	挽			
			輓			
			莽		11011	
			蟒		11011	
		5	忙		11011	
			芒		11011	
			茫		11011	
			蠻			
			虻		11011	
			邙		11011	
			鋩		11011	
			閩			
			硭		11011	
			氓		11011	
			𣙷		11011	
		6	網		11011	
		7	夢		11011	
			慢			
			萬		00001	
			緩			
		8	目		11011	
			嘜	嚜	11011	
			鉬		11011	
			茉		11011	
	bh	8	木		11011	
			墨		11011	
	d	1	丹			
			坍			
			中			
			冬		11011	
			檔		11011	
			噹		11011	
			東		11011	
			殫			
			癉			
			璫		11011	
			簞			
			鐺		11011	
			襠		11011	
			鄲			
		2	癉			
			亶			
			黨		11011	
			董		11011	
			讜		11011	
		3	擋		11011	
			棟		11011	
			檔		11011	
			當		11011	
			蛋			
			蜑			
			旦			
			凍			
			誕			
		4	笪			
		5	同	仝	11011	
			筒		11011	
			茼		11011	
			銅		11011	
			陳			
		6	但			
			愓		11011	
			重		11011	
			宕			
			憚			
			碭		11011	
			盪		11011	
			蕩		11011	
			菪			
			凼			
		7	洞		11011	
			峝	峒	11011	
		8	繨			
			值			
			度			
			踱			
			噠			
			墶			
			毒		11011	
			濯			
			碡		11011	
			達			
			鐸			
	t	1	坍			
			蹚		11011	
			䠀		11011	
			湯		11011	
			噸		11011	
			蟶		11011	
			鏜		11011	
		2	倘		11011	
			儻		11011	
			坦			
			妲			
			忐			
			怛			
			桶		11011	
			淌		11011	
			毯			
			疸			
			鉭			
			袒			
			趟		11011	
			躺		11011	
			靼			
			钂		11011	
		3	亙			
			賺			
			嘆	歎		
		4	拓			
			搨			
			蹋			
			撻			
			橐			
			澾			
			韃			
			溻			
			踢			
			闥			
			榻			
			塌			
		5	唐		11011	
			彈			
			堂		11011	
			塘		11011	
			搪		11011	
			棠		11011	
			檀			
			溏		11011	
			瞠		11011	
			膛		11011	
			螗		11011	
			螳		11011	
			蟲		11011	
			赯		11011	
			醣		11011	
			鄌		11011	
		8	讀		11011	
	n	2	俺			
			懶		00011	
		5	人		11011	
			難		00111	
		7	難		00111	
		8	搦		11011	
			捺		11011	
	l	2	囊		11011	
			囔		11011	
			懶		11000	
			曩		11011	
			攮		11011	
			饢		11011	
			齉	儾	11011	
			赧			
		4	碌		11011	
		5	啷		11011	
			欄			
			浪		11011	
			狼		11011	
			琅		11011	
			礱		11011	
			籠		11011	
			聾		11011	
			膿		11011	
			螂		11011	
			讕			
			稂		11011	
			攔			
			蘭			
			瑯		11011	
			踉		11011	
			閬		11011	
			闌			
			鑭			
			榔		11011	
			廊		11011	
			難		11000	
			斕			
			鱗			
			零		11011	
			瀾			
			爛			
		6	爛			
			朗		11011	
			蒗		11011	
			浪		11011	
			弄		11011	
		7	難		11000	
		8	六		11011	
			力			
			叻			
			樂			
			陸		11011	
	g	1	干			
			乾			
			酐			
			剛		11011	
			姦			
			奸			
			蕑	蕳		
			岡		11011	
			崗		11011	
			工		11011	
			杆			
			江		11011	
			竿			
			碙		11011	
			綱		11011	
			罡		11011	
			艱			
			茳		11011	
			菅			
			豇		11011	
			犴			
			間			
		2	港		11011	
			囝			
			擀			
			澗			
			柬			
			簡			
			講		11011	
			耩		11011	
			梘			
			鐧			
			筧			
		3	幹			
			杠			
			旰			
			榦			
			洚		11011	
			瞯	瞷		
			絳		11011	
			降		11011	
			諫			
		4	角		11011	
			各		11011	
			桷		11011	
			結			
			礐		11011	
			覺		11011	
		7	共		11011	
	k	1	康		11011	
			匡		11011	
			洭		11011	
			夼		11011	
			䆲		11011	
			慷		11011	
			槺		11011	
			劻		11011	
			縴			
			牽			
			恇		11011	
		3	亢		11011	
			吭		11011	
			伉		11011	
			侃		11011	
			匟		11011	
			抗		11011	
			鈧		11011	
			炕		11011	
		4	剋	克		
			催		11011	
			咯		11011	
			麯	麴	11011	
			嘎		11011	
			恪		11011	
			慤	悫愨	11011	
			戛		11011	
			旮			
			搉		11011	
			殼		11011	
			確		11011	
			噶			
			藿		11011	
			确		11011	
			霍		11011	
			榷		11011	
		5	刊		11000	
	ng	1	昂		11011	
		2	眼			
		5	言			
			顏			
		6	唁			
			彥			
			諺			
			雁			
			贋	贗		
		8	岳		11011	
			噩		11011	
			嶽		11011	
			愕		11011	
			鶚		11011	
			萼		11011	
			諤		11011	
			鄂		11011	
			鍔		11011	
			腭	顎	11011	
			鰐	鱷	11011	
	h	1	熯		11011	
			頇			
		2	悍			
			捍			
			汗			
			稈			
			罕			
			瀚			
			翰			
			旰			
			鼾			
			焊			
		3	漢			
			夯			
		4	喝			
			壑			
			曷			
			洫			
			涸			
			劐			
			瞎			
			耠			
			褐			
			謁			
			豁			
			轄			
			遏			
			郝			
			鞨			
			鶡			
		5	寒			
			夯		11011	
			杭		11011	
			迒		11011	
			桁		11011	
			汗			
			航		11011	
			沆		11011	
			瀚			
			珩		11011	
			絎		11011	
			翰			
			行		11011	
			邗			
			降		11011	
			韓			
			頏		11011	
		6	限			
			項		11011	
		7	巷		11011	
		8	學		11011	
			嶨		11011	
	z	1	棕		11011	
			曾			
			罾		11011	
			糌		11011	
			莊		11011	
			臧		11011	
			鬃		11011	
			髒		11011	
		2	攥		11011	
		3	壯		11011	
			奘		11011	
			昝			
			攢			
			粽		11011	
			讚			
			贊			
			躦			
			趲			
			鑽			
			臢			
			棧			
		4	作		11011	
			扎	紥	11011	
			拃		11011	
			紮		11011	
			札	箚劄剳	11011	
			拶			
			櫛			
			癤			
			筰		11011	
			節			
			鍘		11011	
		5	層			
			叢		11011	
		6	藏		11011	
			臟		11011	
			贜	贓	11011	
			臧		11011	
		7	贈			
	c	1	蒼		11011	
			倉		11011	
			傖		11011	
			創		11011	
			戧		11011	
			孱			
			滄		11011	
			潺			
			瑲		11011	
			蔥		11011	
			蹌		11011	
			愴		11011	
			鏘		11011	
			餐			
			鶬		11011	
		2	剷			
			鏟			
			蕆			
		3	創		11011	
			熗		11011	
			璨		11011	
			燦		11011	
			粲		11011	
		4	察			
			膝		00100	
			擦			
			搽			
			漆			
			剎			
			䃰			
			錯			
			鑔			
		5	戕		11011	
			殘		11011	
			田			
			藏		11011	
		8	鰂			
			賊			
			鑿		11011	
	s	1	刪			
			瀧		11011	
			姍			
			澘	潸	11011	
			珊			
			舢			
			芟			
			跚			
			雙		11011	
			鬆		11011	
		2	滻		11011	
		3	送		11011	
			喪		11011	
			疝			
			氙			
			訕			
			霰			
		4	塞			
			撒			
			鎩			
			剎			
			薩			
			虱			
紅	null	1	骯		00100	
		3	甕	瓮	00100	
		4	惡		00100	
			堊		00100	
		5	紅		00100	
			洪		00100	
	b	1	崩		00100	
			幫		00100	
			蹦		00100	
			方		00100	
			枋		00100	
			楓		00100	
			繃		00100	
			邦		00100	
		2	梆		00100	
			膀		00100	
			榜		00100	
			綁		00100	
			繃		00100	
			耪		00100	
		4	北		00100	
			亳		00100	
			剝		00100	
			幅		00100	
			腹		00100	
		5	房		00100	
			馮		00100	
		6	稖		00100	
			棒		00100	
			磅		00100	
			謗		00100	
			傍		00100	
		8	縛		00100	
	p	1	蜂		00100	
		2	紡		00100	
		4	博		00100	
			搏		00100	
			膊		00100	
			趴		00100	
		5	徬	彷	00100	
			尨		00100	
			帆		00100	
			旁		00100	
			滂		00100	
			篷		00100	
			膀		00100	
			航		00100	
			螃		00100	
			彭		00100	
			甏		00100	
			傍		00100	
			蒡		00100	
			鰟		00100	
			龐		00100	
			霶		00100	
			逄		00100	
		7	縫		00100	
		8	曝		00100	
			暴		00100	
			瀑		00100	
			爆		00100	
			雹		00100	
	m	2	莽		00100	
			蟒		00100	
		5	忙		00100	
			芒		00100	
			茫		00100	
			虻		00100	
			邙		00100	
			鋩		00100	
			硭		00100	
			氓		00100	
			𣙷		00100	
		6	網		00100	
		7	夢		00100	
		8	目		00100	
			嘜	嚜	00100	
			鉬		00100	
			茉		00100	
	bh	8	木		00100	
			墨		00100	
	d	1	冬		00100	
			檔		00100	
			噹		00100	
			東		00100	
			璫		00100	
			鐺		00100	
			襠		00100	
		2	黨		00100	
			董		00100	
			讜		00100	
		3	擋		00100	
			棟		00100	
			檔		00100	
			當		00100	
		5	同	仝	00100	
			筒		00100	
			茼		00100	
			銅		00100	
		6	愓		00100	
			重		00100	
			碭		00100	
			盪		00100	
			蕩		00100	
		7	洞		00100	
			峝	峒	00100	
		8	毒		00100	
			碡		00100	
	t	1	蹚		00100	
			䠀		00100	
			湯		00100	
			噸		00100	
			蟶		00100	
			鏜		00100	
		2	倘		00100	
			儻		00100	
			桶		00100	
			淌		00100	
			趟		00100	
			躺		00100	
			钂		00100	
		5	唐		00100	
			堂		00100	
			塘		00100	
			搪		00100	
			棠		00100	
			溏		00100	
			瞠		00100	
			膛		00100	
			螗		00100	
			螳		00100	
			蟲		00100	
			赯		00100	
			醣		00100	
			鄌		00100	
		8	讀		00100	
	n	5	人		00100	
		8	搦		00100	
			捺		00100	
	l	2	囊		00100	
			囔		00100	
			懶		00100	
			曩		00100	
			攮		00100	
			饢		00100	
			齉	儾	00100	
		4	碌		00100	
		5	啷		00100	
			浪		00100	
			狼		00100	
			琅		00100	
			礱		00100	
			籠		00100	
			聾		00100	
			膿		00100	
			螂		00100	
			稂		00100	
			瑯		00100	
			踉		00100	
			閬		00100	
			榔		00100	
			廊		00100	
			零		00100	
		6	朗		00100	
			蒗		00100	
			浪		00100	
			弄		00100	
		8	六		00100	
			陸		00100	
	g	1	剛		00100	
			岡		00100	
			崗		00100	
			工		00100	
			江		00100	
			碙		00100	
			綱		00100	
			罡		00100	
			茳		00100	
			豇		00100	
		2	港		00100	
			講		00100	
			耩		00100	
		3	洚		00100	
			絳		00100	
			降		00100	
		4	角		00100	
			各		00100	
			桷		00100	
			礐		00100	
			覺		00100	
		7	共		00100	
	k	1	康		00100	
			匡		00100	
			洭		00100	
			夼		00100	
			䆲		00100	
			慷		00100	
			槺		00100	
			劻		00100	
			恇		00100	
		3	亢		00100	
			吭		00100	
			伉		00100	
			侃		00100	
			匟		00100	
			抗		00100	
			鈧		00100	
			炕		00100	
		4	催		00100	
			咯		00100	
			麯	麴	00100	
			嘎		00100	
			恪		00100	
			慤	悫愨	00100	
			戛		00100	
			搉		00100	
			殼		00100	
			確		00100	
			藿		00100	
			确		00100	
			霍		00100	
			榷		00100	
		5	刊		00100	
	ng	1	昂		00100	
		8	岳		00100	
			噩		00100	
			嶽		00100	
			愕		00100	
			鶚		00100	
			萼		00100	
			諤		00100	
			鄂		00100	
			鍔		00100	
			腭	顎	00100	
			鰐	鱷	00100	
	h	1	熯		00100	
		5	夯		00100	
			杭		00100	
			迒		00100	
			桁		00100	
			航		00100	
			沆		00100	
			珩		00100	
			絎		00100	
			行		00100	
			降		00100	
			頏		00100	
		6	項		00100	
		7	巷		00100	
		8	學		00100	
			嶨		00100	
	z	1	棕		00100	
			罾		00100	
			糌		00100	
			莊		00100	
			臧		00100	
			鬃		00100	
			髒		00100	
		2	攥		00100	
		3	壯		00100	
			奘		00100	
			粽		00100	
		4	作		00100	
			扎	紥	00100	
			拃		00100	
			紮		00100	
			札	箚劄剳	00100	
			筰		00100	
			鍘		00100	
		5	叢		00100	
		6	藏		00100	
			臟		00100	
			贜	贓	00100	
			臧		00100	
	c	1	蒼		00100	
			倉		00100	
			傖		00100	
			創		00100	
			戧		00100	
			滄		00100	
			瑲		00100	
			蔥		00100	
			蹌		00100	
			愴		00100	
			鏘		00100	
			鶬		00100	
		3	創		00100	
			熗		00100	
			璨		00100	
			燦		00100	
			粲		00100	
		5	戕		00100	
			殘		00100	
			藏		00100	
		8	鑿		00100	
	s	1	瀧		00100	
			澘	潸	00100	
			雙		00100	
			鬆		00100	
		2	滻		00100	
		3	送		00100	
			喪		00100	
庵	null	1	庵			
			盦			
			諳			
		3	暗			
			揞			
			諳			
			闇			
			黯			
		4	呷			
			押			
			狎			
		6	頷			
		8	匣			
			盒			
	d	1	眈			
			湛			
			耽			
			聃			
		2	萏			
		4	答			
			嗒			
			瘩			
			溚			
		6	啖			
	t	1	貪			
		3	探			
		4	褟			
			錔			
			𩷽			
		5	撢	撣		
			贉			
			痰			
			曇			
			蕁			
			覃			
			潭			
			談			
			譚			
			郯			
			壜	罈罎		
			蟫			
			澹			
		7	趟	䠀蹚		
		8	塌			
	n	2	覽		01011	
			攬		01011	
			欖		01011	
			搿		01011	
			艦	䚀	01011	
			腩		01011	
			纜		01011	
			檻		01011	
		4	肭			
		5	南		01011	
			喃		01011	
			囡		01011	
			嵐		01011	
			楠		01011	
			男		01011	
			藍		01011	
			蝻		01011	
			襤		01011	
			婪		01011	
			罱		01011	
		6	灠		01011	
			濫		01011	
		8	吶			
			納			
			衲			
			訥			
			諾			
			鈉			
	l	2	覽		10100	
			攬		10100	
			欖		10100	
			搿		10100	
			艦	䚀	10100	
			腩		10100	
			纜		10100	
			檻		10100	
		5	南		10100	
			喃		10100	
			囡		10100	
			嵐		10100	
			楠		10100	
			男		10100	
			藍		10100	
			蝻		10100	
			襤		10100	
			婪		10100	
			罱		10100	
		6	灠		10100	
			濫		10100	
	g	1	甘			
			泔			
			疳			
			尷			
			紺			
			監			
		2	感			
		3	檻			
			鑒	鑑鍳		
			監			
			淦			
		4	蛤			
			合			
			鴿			
	k	1	堪			
			坩			
			嵌			
			戡			
			龕			
		2	坎			
			嵌			
			瞰			
			矙			
			砍			
			闞			
		3	勘			
			磡			
		4	郃			
			溘			
			恰			
			掐			
			搕			
			饁			
			嗑			
			瞌			
			榼			
			盍			
			閤			
			磕			
			闔			
	ng	5	巖	巗		
			岩			
			癌			
	h	1	蚶			
			憨			
			酣			
			邯			
		3	喊			
		5	含			
			晗			
			浛			
			咸			
			啣			
			函			
			涵			
			菡			
			銜			
			頷			
		6	憾			
			撼			
		7	陷			
		8	峽			
	z	1	針			
			簪			
		2	嶄			
			塹			
			斬			
			槧			
		3	譖			
			蘸			
		4	匝			
			汁			
			咂			
			軋			
			釓			
			眨			
			唼			
			札	箚劄剳		
			扎	紥		
			砸			
			紮			
			噆			
		6	站			
			鏨			
		8	十			
			什			
			拾			
			雜			
	c	1	參			
			摻			
			攙			
			滲			
			驂			
			磣			
		2	憯			
			慘			
		3	懺			
			讖			
			儳			
			羼			
		5	慚	慙		
			讒			
			巉			
			饞			
		7	鵮			
	s	1	杉			
			三			
			毿			
			釤			
			穇			
		2	糂	糝		
		4	卅			
			𢶍			
			靸			
			颯			
			𧐔			
翁	null	1	翁			
			嗡			
			䩺			
		3	蓊			
			盎			
		4	喔			
			屋			
			幄			
			握			
			沃			
			鋈			
			齷			
			渥			
		6	唪			
		7	訇			
	b	2	甭			
		4	卜			
		5	乓			
			泵			
		7	磅			
			鎊			
		8	僕			
			蔔			
	p	3	碰			
			膀			
		4	仆			
			幞			
			撲			
			樸			
			濮			
			朴			
			璞			
			釙			
			蹼			
			醭			
			鏷			
		5	芃			
			蓬			
			縫			
			鵬			
	m	2	某		11100	
			懞	懵	11100	
		3	貿		11100	
		5	朦		11100	
			檬		11100	
			蠓		11100	
			矇		11100	
			瞀		11100	
			摸		11100	
			曚		11100	
			蒙		11100	
			哞		11100	
			蛑		11100	
			牟		11100	
			侔		11100	
			謀		11000	
			礞		11100	
			眸		11100	
			幪		11100	
			艨		11100	
			濛		11100	
		6	懋		11100	
			茂		11100	
			袤		11100	
		8	寞			
			沐			
			歿			
			沒			
			牧			
			疫			
			穆			
			苜			
			莫			
			鄚			
			万			
			冒			
			繆			
			霂			
			鏌			
			睦			
	d	1	中		11110	
			忠			
			東			
			氡			
			咚			
			鼕			
		2	董			
			懂			
		3	中		11110	
			凍			
			湩			
			疼			
			蝀			
			棟			
		4	斲			
			琢			
			瘃			
			督			
			筑			
			築			
			篤			
			斫			
		6	丼			脣
			仲			
			動			
			重			
		7	捅			
		8	瀆			
			頓			
			櫝	匵		
			殰			
			牘			
			犢			
			獨			
			覿			
			讟			
			涿			
			纛			
			逐			
			髑			
			黷			
	t	1	通			
		2	寵			
			冢	塚		
			統			
		3	痛			
			慟			
		4	柝	𣟄		
		5	佟			
			侗			
			僮			
			峒	峝		
			幢			
			彤			
			憧			
			恫			
			曈			
			桐			
			同	仝		
			胴			
			潼			
			疃			
			洞			
			酮			
			瞳			
			童			
			艟			
			烔			
	l	2	壟	壠		
			攏			
			籠			
			隴			
		5	儂			
			曨			
			朧			
			矓			
			瀧			
			濃			
			櫳			
			農			
			穠			
			瓏			
			癃			
			隆			
			噥			
			窿			
			膿			
			蘢			
		6	弄			
		8	咯			
			戮			
			摝			
			洛			
			淥			
			漉			
			濼			
			烙			
			貉			
			僇			
			甪			
			珞			
			陸			
			碌			
			祿			
			酪			
			輅			
			逯			
			鉻			
			樂			
			錄			
			雒			
			麓			
			餎			
			駱			
			絡			
			轆			
			簏			
	g	1	公			
			功			
			工			
			攻			
			肛			
			蚣			
		3	貢			
			嗊			
			戇			
			杠			
			汞			
			贛	贑灨		
			供			
		4	嘓			
			國			
			摑			
			幗			
			穀			
			榖			
			蟈			
			轂			
			谷			
			玨	珏瑴		
			瀔			
		5	戇			
	k	1	空			
			崆			
			箜			
		2	倥			
			孔			
		3	控			
			空			
			鞚			
		4	柝	𣟄		
			哭			
			嚳			
			梏			
			酷			
			鵠			
			告			
			觳			
	h	1	丰			
			諷			
			封			
			峯			
			烽			
			灃			
			奉		00001	
			葑			
			風			
			哄			
			豐			
			轟			
			酆			
			鋒			
		2	俸			
			捧			
			唪			
			蚌			
		3	哄			
			蕻			
			諷			
			賵			
			閧	鬨		
			訌			
		4	福			
			復			
			蝠			
			蝮			
			複			
			輻			
		5	宏		11100	
			弘			
			烘			
			泓			
			紘			
			虹			
			逢			
			洪			
			鴻			
		6	鳳			
			奉		11110	
		7	轟			
		8	伏			
			域		11100	
			惑		11100	
			或		11100	
			棫		11100	
			蜮		11100	
			復			
			服			
			槲			
			洑			
			縠			
			茯			
			菔			
			蔛			
			袱			
			覆			
			鰒			
			斛			
	z	1	宗			
			樅			
			琮			
			縱			
			終			
			綜			
			螽			
			蹤			
			淙			
			嵏	嵕		
		2	總			
			傯			
			踵			
		3	縱			
			瘲			
			衆		00010	
			慫		01100	
		4	囑			
			斸			
			矚			
			劚			
			祝			
			屬			
			足			
			喌			
		6	從			
		8	族			
			嗾			
			簇	蔟		
			鏃			
	c	1	充			
			匆			
			忡			
			翀			
			聰			
			种			
			茺			
			衝			
			衷			
			驄			
			冲			
			沖			
		3	衝			
		4	亍			
			促			
			捉			
			戳			
			槭			
			矗			
			蠋			
			觸			
			躅			
			鐲			
			蹙			
			齪			
			蹴			
			斮			
		5	從			
			蓯			
			崇			
	s	1	鬆			
			嵩			
		2	悚			
			慫		10011	
			竦			
			聳			
		3	宋			
		4	叔			
			夙			
			寂			
			束			
			嗦			
			涑			
			淑			
			漱			
			縮			
			肅			
			簌			
			蓿			
			索			
			菽			
			蔌			
			觫			
			謖			
			速			
			餗			
		5	凇		11110	
			松		11110	
			淞		11110	
			菘		11110	
		6	訟			
			誦			
			頌			
		8	俗			
			屬			
			塾			
			孰			
			續		11110	
			贖			
	r	2	扔		11100	
			冗		11100	
			氄		11100	
		5	戎		11100	
			毧		11100	
			仍		10000	
			礽		10000	
			絨		11100	
			茸		11100	
			狨		11100	
			羢		11100	
		8	溽			
			縟			
			蓐			
			褥			
			辱			
英	null	1	英			
			嚶			
			應			
			霙			
			鶯			
			鷹			
			鸚			
			櫻			
			攖			
			瑛			
			瓔			
			癭			
			纓			
			罌			
			膺			
			嬰			
			罃			
		3	應			
		4	溢			
			鎰			
			肊			
			臆			
		5	塋		01000	
			熒		01000	
			㼆		01000	
			瑩		01000	
			縈		01000	
			滎		01000	
			螢		01000	
		7	用			
		8	易			
			埸			
			奕			
			蜴			
			嶧			
			弈			
			弋			
			懌			
			掖			
			斁			
			譯			
			液			
			聿			
			繹			
			翊			
			翌			
			翼			
			霱			
			億			
			憶			
			腋			
			溢			
	b	2	炳			
			邴			
			秉			
		4	迫			
			逼			
			伯			
			愎			
			煏			
			輻			
			柏			
		5	憑		11011	
		6	栟			
			并			
			並			
			併			
			胼			
			迸			
			駢			
	p	1	烹			
			拼			
			姘		11101	
		3	聘			
			娉			
			騁			
		4	珀			
			碧			
			𤏡			
			劈			
			匐			
			擗			
			擘			
			蔔			
			薜			
			魄			
			霹			
			辟			
			闢			
			襞			
			甓			
		5	平			
			憑		00100	
			怦			
			姘		00010	
			坪			
			抨			
			枰			
			砰			
			朋			
			硼			
			秤			
			苹			
			評			
			鬅			
	m	2	皿			
			錳			
			酩			
			茗			
		5	茗			
			明			
			冥			
			洺			
			溟			
			盟			
			盲			
			甍			
			瞑			
			萌			
			蓂			
			虻			
			螟			
			銘			
			鳴			
		6	命			
			孟			
		8	陌			
			冪			
			汨			
			驀			
			貊			
	d	1	丁			
			仃			
			叮			
			徵			
			汀			
			燈			
			疔			
			癥	症		
			町			
			登			
			蹬			
			簦			
			玎			
			釘			
			鐙			
			靪			
			酊			
		2	等			
			戥			
			頂			
			酊			
		3	凳			
			飣			
			叮			
			釘			
			訂			
			碇	矴		
			鐙			
			盯			
			磴			
		4	德			
			嫡			
			竹			
			竺			
		5	亭			
			重			
			葶			
		6	錠			
			綻			
			腚			
			躑			
			鄭			
			鄧			
		8	敵			
			鹿			
			特			
			嘀			
			妯			
			值			
			滌			
			狄			
			笛			
			翟			
			荻			
			菂			
			的			
			蟄			
			軸			
			迪			
			逖	逷		
			鏑			
	t	1	窗			
			汀			
			懲			
		2	挺			
			梃			
			逞			
			郢			
			鋌			
			艇			
			穎			
			潁			
		3	聽			
		4	倜			
			剔			
			敕			
			忑			
			鋱			
			飭			
			忒			
			禿			
			磔			
			惕			
			慝			
			趯			
			鶒	鷘		
			陟			
			騭			
		5	停			
			塍			
			婷			
			渟			
			澄			
			庭			
			澂			
			汀			
			滕			
			町			
			瞪			
			瞠			
			騰			
			莛			
			蜓			
			霆			
			酲			
			謄			
			廷			
	n	5	能		00011	
		8	肉			
			匿			
			溺			
			搦			
			昵			
			慝			
			衵			
			恧			
	l	1	鈴			
		2	攆			
			隴			
		5	伶			
			淩			
			另			
			嚨			
			囹			
			寧			
			楞	愣		
			拎			
			擰			
			塄			
			棱			
			櫺			
			泠			
			凌			
			濘			
			獰			
			玲			
			瓴			
			甯			
			檸			
			睖			
			綾			
			羚			
			翎			
			聆			
			能		11100	
			舲			
			菱			
			薐			
			蛉			
			酃			
			陵			
			零			
			靈			
			鯪			
			鴒			
			齡			
			龍			
		6	令			
			甯			
			佞			
			苓			
		8	仂			
			屴			
			勒			
			泐			
			氯			
			肋			
			綠			
			轢			
			菉			
			陸			
			鰳			
	g	1	宮			
			供			
			弓			
			涇			
			矜			
			經			
			荊			
			更			
		2	景			
			剄		00011	
			境			
			憬			
			璟			
			竟			
		3	更			
			敬			
		4	亟			
			侷			
